State,Type,County,Violent crime,Property crime
ILLINOIS,Non-Metro,Ogle,13.00,308.00
ILLINOIS,Non-Metro,Perry,22.00,88.00
ILLINOIS,Non-Metro,Pike,1.00,7.00
ILLINOIS,Non-Metro,Pope,13.00,45.00
ILLINOIS,Non-Metro,Pulaski,79.00,104.00
ILLINOIS,Non-Metro,Putnam,4.00,48.00
ILLINOIS,Non-Metro,Richland,6.00,91.00
ILLINOIS,Non-Metro,Schuyler,5.00,10.00
ILLINOIS,Non-Metro,Shelby,12.00,66.00
ILLINOIS,Non-Metro,Stephenson,6.00,208.00
ILLINOIS,Non-Metro,Union,15.00,107.00
ILLINOIS,Non-Metro,Warren,11.00,89.00
