County,State,Value
Pulaski County,Indiana,-353.00
Lincoln County,Georgia,-352.00
Stafford County,Kansas,-352.00
Madison County,Nebraska,-350.00
Darke County,Ohio,-350.00
Graham County,Kansas,-349.00
Franklin County,Nebraska,-349.00
McLean County,North Dakota,-349.00
Phillips County,Montana,-348.00
Aurora County,South Dakota,-348.00
Ness County,Kansas,-347.00
Jefferson County,Oklahoma,-346.00
Elbert County,Georgia,-345.00
Allamakee County,Iowa,-345.00
Frontier County,Nebraska,-343.00
Covington city,Virginia,-342.00
Caribou County,Idaho,-341.00
Muhlenberg County,Kentucky,-340.00
Coleman County,Texas,-340.00
Boyd County,Nebraska,-339.00
Dixon County,Nebraska,-339.00
Stark County,Illinois,-338.00
Ringgold County,Iowa,-338.00
Lincoln County,Kansas,-337.00
Jefferson County,Georgia,-336.00
Tama County,Iowa,-336.00
Griggs County,North Dakota,-334.00
Carson County,Texas,-334.00
Gladwin County,Michigan,-331.00
Franklin County,Mississippi,-330.00
Menominee County,Wisconsin,-330.00
Lawrence County,Mississippi,-329.00
Hale County,Texas,-329.00
Nicholas County,West Virginia,-329.00
Nemaha County,Nebraska,-328.00
Wayne County,Iowa,-327.00
Stevens County,Minnesota,-327.00
Clare County,Michigan,-326.00
Stanton County,Nebraska,-326.00
Audrain County,Missouri,-324.00
Clay County,Alabama,-322.00
Newton County,Indiana,-322.00
Kodiak Island Borough,Alaska,-321.00
Butler County,Kentucky,-320.00
Sanborn County,South Dakota,-320.00
Trego County,Kansas,-318.00
Kidder County,North Dakota,-318.00
Logan County,North Dakota,-318.00
Pierce County,North Dakota,-318.00
Dickens County,Texas,-318.00
Bath County,Virginia,-317.00
Campbell County,South Dakota,-316.00
Jackson County,Texas,-316.00
Sierra County,California,-315.00
Pawnee County,Nebraska,-314.00
Worth County,Iowa,-311.00
Hand County,South Dakota,-310.00
Fergus County,Montana,-307.00
Valley County,Montana,-306.00
Doniphan County,Kansas,-304.00
Benson County,North Dakota,-304.00
Oceana County,Michigan,-303.00
Nance County,Nebraska,-303.00
St. Louis County,Minnesota,-302.00
Malheur County,Oregon,-302.00
McDonough County,Illinois,-301.00
Pipestone County,Minnesota,-299.00
Mineral County,Nevada,-299.00
Mora County,New Mexico,-299.00
Wichita County,Kansas,-297.00
Johnson County,Illinois,-296.00
Cheboygan County,Michigan,-296.00
Hampton County,South Carolina,-296.00
Edmunds County,South Dakota,-296.00
Mitchell County,Texas,-295.00
Howard County,Nebraska,-293.00
Wyandot County,Ohio,-293.00
Cumberland County,Kentucky,-291.00
Genesee County,New York,-291.00
Logan County,Kansas,-290.00
Worth County,Georgia,-288.00
Clay County,Kansas,-287.00
Greeley County,Kansas,-287.00
Foard County,Texas,-286.00
Livingston County,Kentucky,-285.00
Dundy County,Nebraska,-284.00
Lewis County,Missouri,-283.00
Steele County,North Dakota,-283.00
Norton County,Kansas,-282.00
Thomas County,Kansas,-280.00
Prentiss County,Mississippi,-280.00
Reno County,Kansas,-279.00
Hamilton County,Nebraska,-279.00
Newton County,Arkansas,-278.00
Clark County,Missouri,-277.00
Erie County,Pennsylvania,-277.00
Sullivan County,Indiana,-276.00
Faulk County,South Dakota,-276.00
Burke County,North Dakota,-274.00
Grant County,Minnesota,-271.00
Pondera County,Montana,-271.00
Kimball County,Nebraska,-268.00
Oswego County,New York,-268.00
Daniels County,Montana,-266.00
Coffey County,Kansas,-264.00
Wallace County,Kansas,-264.00
Morton County,Kansas,-263.00
Bristol Bay Borough,Alaska,-261.00
Alger County,Michigan,-261.00
Pawnee County,Kansas,-260.00
Green County,Kentucky,-260.00
Haakon County,South Dakota,-259.00
Miller County,Georgia,-258.00
Sheridan County,Kansas,-257.00
Judith Basin County,Montana,-257.00
Richland Parish,Louisiana,-256.00
Fillmore County,Minnesota,-256.00
Wayne County,Nebraska,-256.00
Pulaski County,Virginia,-255.00
Winneshiek County,Iowa,-254.00
Clay County,Texas,-254.00
Dimmit County,Texas,-252.00
Hyde County,South Dakota,-251.00
Ward County,Texas,-251.00
Edwards County,Illinois,-250.00
Menifee County,Kentucky,-250.00
Adams County,North Dakota,-250.00
Sterling County,Texas,-250.00
Webster County,Nebraska,-249.00
Carlisle County,Kentucky,-247.00
Armstrong County,Texas,-247.00
Rush County,Kansas,-244.00
Putnam County,Missouri,-244.00
