County,State,Value
Ford County,Illinois,0.2
Gallatin County,Illinois,0.3
Jackson County,Illinois,0.4
Jefferson County,Illinois,0.2
Jersey County,Illinois,0.3
Jo Daviess County,Illinois,0.2
Kendall County,Illinois,0.3
LaSalle County,Illinois,0.3
Lawrence County,Illinois,0.2
Logan County,Illinois,0.2
McDonough County,Illinois,0.2
McHenry County,Illinois,0.3
Macoupin County,Illinois,0.3
Mason County,Illinois,0.2
Massac County,Illinois,0.4
Monroe County,Illinois,0.2
Ogle County,Illinois,0.2
Piatt County,Illinois,0.2
Pulaski County,Illinois,0.4
Richland County,Illinois,0.2
Rock Island County,Illinois,0.3
Saline County,Illinois,0.4
Sangamon County,Illinois,0.2
Stephenson County,Illinois,0.2
Vermilion County,Illinois,0.2
Washington County,Illinois,0.1
Whiteside County,Illinois,0.3
